DATEPRD,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,BORE_OIL_VOL,AVG_WHP_P,AVG_ANNULUS_PRESS,ANNULUS_FILLED,WINDOW
2008-02-13,303.033518125,105.57433902849137,1869.7,120.88857604166667,16.466641041666666,0,baseline
2008-02-14,295.58606133333336,105.77548622222223,3124.09,113.71817466666667,12.659589111111112,0,baseline
2008-02-15,297.66270211663067,105.75187535637149,2608.28,116.83064166306696,5.264051706263499,0,baseline
2008-02-16,295.9355189583333,105.811114375,3051.8,115.43447416666666,12.384633541666666,0,baseline
2008-02-17,295.5516572916667,105.83129916666667,2982.63,115.20587645833334,14.384565208333333,0,baseline
2008-02-18,294.21106282608696,105.86646695652173,2980.52,113.2818152173913,15.980444130434783,0,baseline
2008-02-19,293.829243125,105.86795833333333,3046.19,113.76912791666666,18.811254375,0,baseline
2008-02-20,293.0614802083333,105.87933021276596,3057.18,113.39973666666667,19.740757234042555,0,baseline
2008-02-21,292.5402470833333,105.88343395833333,3030.33,113.10635208333333,19.431675208333335,0,baseline
2008-02-22,292.36155884690953,105.88229316314596,2907.56,113.07932925762232,1.0385930394233913,0,baseline
2008-02-24,290.54162541666665,105.90578958333333,3126.7,111.18693166666667,8.582714375,0,baseline
2008-02-25,290.2081439583333,105.8956975,3045.54,111.44973583333334,12.3043675,0,baseline
2008-02-26,289.53618458333335,105.90156645833333,3046.54,110.93350979166667,12.506407083333333,0,baseline
2008-02-27,288.93326291666665,105.90246333333333,3035.54,110.32551666666667,12.375716666666667,0,baseline
2008-02-28,288.8482654034959,105.89608038428321,2971.55,110.62871036087053,10.149501590093406,0,baseline
2008-02-29,287.5143464583333,105.906833125,3070.54,109.446906875,11.423948541666666,0,baseline
2008-03-01,286.89159270833335,105.90908916666666,3068.48,108.82683041666667,11.15552625,0,baseline
2008-03-02,286.2646760416667,105.91060979166667,3066.54,108.32104791666667,11.222632708333334,0,baseline
