Time_Index,Drift_Type,Top_Features,Errors
890,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(21.22098553309621), np.float64(3.786547474203183), np.float64(2.8752437832562565)]"
891,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(21.362755805343976), np.float64(3.8157221172342184), np.float64(2.8885000178138545)]"
892,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(21.445067075799763), np.float64(3.8393574450177352), np.float64(2.8909232721519533)]"
893,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(21.427240923701675), np.float64(3.8457455490920474), np.float64(2.876710236493994)]"
894,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(21.338200981632554), np.float64(3.850320720486425), np.float64(2.865266371005794)]"
895,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(21.23141575027443), np.float64(3.8547940802701204), np.float64(2.8515665914919435)]"
896,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(21.191867349092128), np.float64(3.8646216601424506), np.float64(2.845622930765207)]"
897,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(22.071420671275945), np.float64(4.143563252342465), np.float64(2.901819173697767)]"
898,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(21.882905138175637), np.float64(4.075355363997112), np.float64(2.8906255181434855)]"
899,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(22.639743694777405), np.float64(4.406989026759376), np.float64(2.943219194091683)]"
900,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(22.21347084218481), np.float64(4.2993666835608035), np.float64(2.9095107075754236)]"
901,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(21.905357134076276), np.float64(4.205767382262245), np.float64(2.910757999121295)]"
